variable_name,meandecreasegini
tgt_first_date_any_download,1893.173406
tgt_download,1741.982353
tot_baidu_se_page_views,822.0638689
datasheet_downloads,728.9344479
tgt_hol,710.7155526
tot_prod3_resources_page_views,612.9418993
tot_prod11_features_page_views,516.7656425
tgt_first_date_hol_page_view,502.8101295
tot_prod10_hol_page_views,487.9287137
tot_last_touch_internal_views,482.3585032
tot_prod11_resources_page_views,468.6060046
pdf_downloads,394.9790547
tot_first_touch_internal_views,380.4820263
file_download_events,339.6567113
tot_prod3_downloads,339.0793977
tot_prod14_evals_page_views,338.9598855
tot_prod3_features_page_views,336.5547151
downloads,315.0315564
cart_view_events,289.3267794
tot_page_views_l90d,266.6503035
tot_visits_l30d,264.2662904
tot_prod3_blog_page_views,261.1067047
purchase_events,228.2779298
tot_internal_ref_page_views,213.4266297
tot_page_views,212.7951849
tot_visits_l90d,212.2277581
tot_prod10_downloads,204.3287684
product_view_events,201.8605611
tot_page_views_l30d,197.2944098
tot_prod10_features_page_views,185.0048019
tot_visits,179.9930179
log_in_events,178.3878672
tot_prod14_hol_page_views,171.7454063
tot_windows_page_views,170.4727273
tot_last_touch_referring_domain_views,168.0358611
internal_search_events,165.6115241
tot_prod14_features_page_views,161.8020872
tot_prod11_hol_page_views,160.9421462
form_success_events,145.6799135
tot_prod14_eval_reg,142.0215616
checkout_s1_events,135.8558343
tot_prod14_resources_page_views,134.8526357
tot_other_ref_page_views,131.3306984
tot_other_browser_page_views,125.8185052
tot_google_browser_page_views,123.3339555
tot_microsoft_browser_page_views,115.8090805
video_view_events,102.5104157
tot_first_touch_direct_views,99.10159357
tot_last_touch_natural_search_views,93.98169553
tot_prod11_gs_page_views,92.12916842
tot_last_touch_src_codes_views,81.71813999
campaign_view_events,80.320412
tgt_more_than1,80.21839789
tot_first_touch_natural_search_views,79.07845159
tot_first_touch_referring_domain_views,78.29226033
download_trial_events,78.03688321
tot_last_touch_direct_views,76.85160492
tot_search_engine_ref_page_views,75.10289322
natural_search_events,74.477945
whitepaper_downloads,71.88870398
tot_google_se_page_views,67.69434083
campaign_src_events,66.463965
tot_prod10_resources_page_views,65.31226383
cart_add_events,64.958508
num_prodA_editions_distinct,59.83321126
tot_prod13_downloads,58.68670617
db_annualsales,58.17214711
tot_mozilla_browser_page_views,56.26819203
tot_prod11_blog_page_views,54.59097713
tot_prod13_features_page_views,53.97903522
tot_last_touch_cid_codes_views,52.02769234
tot_prod3_gs_page_views,51.19147441
cart_open_events,49.70876434
get_pricing_events,48.38238897
tot_prod13_resources_page_views,41.73209322
db_employeerange,40.81466864
tot_prod10_blog_page_views,37.40818725
final_vertical_dunssite,37.07329088
tot_prod3_overview_page_views,35.65230715
tot_prod13_hol_page_views,33.30798692
tot_prod3_hol_page_views,30.80805447
idc_verticals,30.55385649
tot_prod12_features_page_views,29.35585508
tot_prod2_features_page_views,28.8509223
highest_prodA_edition,28.11198269
support_search_events,27.67063259
tot_prod10_hol_reg,26.95845263
gu_emp_segment_desc,26.52708426
email_views,26.28985919
prodA_booking_pct,26.18889305
tot_osx_page_views,23.81680581
tot_social_media_ref_page_views,23.75514174
prodV_booking_pct,23.48194667
linkedin_views,23.44009814
num_orders,22.55270183
form_abandon_events,21.60056156
channel_partner_total_pct,21.4752458
channel_total,21.16331369
total_bookings_amount,20.93525509
tot_prod2_hol_page_views,20.79537559
